New MKL-SRF Direct and near,New MKL-SRF Direct,New MKL-SRF Stringent ,New MKL-SRF Stringent and Direct,MKL_SRF_experiment 
Kitl,Kitl,Col5a2,,
l7Rn6,l7Rn6,Col6a2,,
Lpar1,Lpar1,Cpne2,,
Lyrm5,Lyrm5,Cpt2,,
Mapkapk2,Mapkapk2,Crebbp,,
Mbnl2,Mbnl2,Crk,,
Mkl1,Mkl1,Ctgf,,
Mlf1ip,Mlf1ip,Ctps,,
Mllt10,Mllt10,Ctps2,,
Mmd,Mmd,Cttnbp2nl,,
Mtap4,Mtap4,Cyfip1,,
Nbeal1,Nbeal1,D5Ertd579e,,
Ncbp2,Ncbp2,Ddah2,,
Ndel1,Ndel1,Ddhd1,,
Nfe2l2,Nfe2l2,Dennd4b,,
Nfya,Nfya,Dmwd,,
Notch2,Notch2,Dmxl1,,
Npc2,Npc2,Dot1l,,
Nr1d2,Nr1d2,Dtx1,,
Nr2f1,Nr2f1,Dusp1,,
Nr6a1,Nr6a1,Dyrk1a,,
Oaz1,Oaz1,E130311K13Rik,,
Ola1,Ola1,Ecm1,,
Osbpl8,Osbpl8,Efemp2,,
Patl2,Patl2,Ehd1,,
Pcna,Pcna,Ehmt2,,
Pdcd10,Pdcd10,Eif2s2,,
Pdgfa,Pdgfa,Eif4a3,,
Phc2,Phc2,Eif4h,,
Plxnb2,Plxnb2,Elk4,,
Polr2a,Polr2a,Ell2,,
Ppat,Ppat,Eml4,,
Ppp2r4,Ppp2r4,Epha1,,
Ptpn12,Ptpn12,Erc1,,
Rab11b,Rab11b,Eri2,,
Rab2b,Rab2b,Errfi1,,
Rab5a,Rab5a,Ets2,,
Rad17,Rad17,Exd2,,
Rcn2,Rcn2,F2r,,
Rhoj,Rhoj,F3,,
Rpsa,Rpsa,Faf1,,
Rspo2,Rspo2,Fam113b,,
Sbds,Sbds,Fam134c,,
Sbno2,Sbno2,Fam188a,,
Schip1,Schip1,Fam198b,,
Setd3,Setd3,Fam3c,,
Sf1,Sf1,Fas,,
Shoc2,Shoc2,Fcho2,,
Sirt6,Sirt6,Fkbp10,,
Slc17a5,Slc17a5,Foxf2,,
Slc31a1,Slc31a1,Frmd6,,
Slc35e1,Slc35e1,Fscn1,,
Slc35f5,Slc35f5,Fyn,,
Slmo2,Slmo2,Galk1,,
Snd1,Snd1,Gdap2,,
Snrpb2,Snrpb2,Gga3,,
Stau2,Stau2,Ghrl,,
Stil,Stil,Glrx,,
Strn,Strn,Gm10094,,
Taf3,Taf3,Gnpda1,,
Tasp1,Tasp1,Gpr153,,
Tcf3,Tcf3,Gpsm2,,
Tcfe3,Tcfe3,Grb14,,
Tmem33,Tmem33,Grb2,,
Tmx4,Tmx4,Gspt1,,
Tnrc6b,Tnrc6b,Gtpbp1,,
Twf1,Twf1,Gtpbp3,,
Ube2d3,Ube2d3,Gusb,,
Xpnpep1,Xpnpep1,H3f3b,,
Zfp871,Zfp871,Hdac4,,
Zfpm1,Zfpm1,Hes7,,
39873,,Hif1a,,
1110007L15Rik,,Hps4,,
1300014I06Rik,,Hsd17b7,,
2410089E03Rik,,Ier5,,
6430527G18Rik,,Ipo7,,
9530068E07Rik,,Irf2bp2,,
A330021E22Rik,,Itgav,,
Abce1,,Itgb1,,
Acsl4,,Jrk,,
Actr10,,Jun,,
Adora2b,,Kcnk7,,
Aftph,,Kctd5,,
Akr1e1,,Kdelc2,,
Anxa1,,Klf9,,
Arhgap29,,Klhdc8a,,
Arih1,,Lats2,,
Arl10,,Lbh,,
Arl4d,,Lemd3,,
Arl6ip5,,Leprotl1,,
Bach1,,Lox,,
Bach2,,Lpar4,,
BC031353,,Lsm11,,
Bri3bp,,Maml2,,
Brwd1,,Man2a2,,
Btg2,,Map3k11,,
Camkk2,,Map3k15,,
Capn2,,Map4k3,,
Car9,,Mat2a,,
Cav1,,Meaf6,,
Cbl,,Med21,,
Cbx4,,Mesdc1,,
Cbx6-Nptxr,,Mfsd3,,
Ccnl2,,Mfsd7b,,
Cdc42ep3,,Mga,,
Cdc7,,Mmp9,,
Cdk17,,Morc4,,
Cfl2,,Mrpl51,,
Chchd2,,Mrps17,,
Cltb,,Mrps7,,
Cltc,,Mtmr14,,
Cnn3,,Mxra8,,
Cnot3,,Mybl1,,
Col5a1,,Myl12b,,
Col5a2,,Nlgn2,,
Col6a2,,Npas4,,
Cpne2,,Nppb,,
Cpt2,,Npsr1,,
Crebbp,,Nrbp1,,
Crk,,Nup155,,
Ctgf,,Ogdh,,
Ctps,,Opn1sw,,
Ctps2,,Oxsr1,,
Cttnbp2nl,,Palm2,,
Cyfip1,,Pawr,,
D5Ertd579e,,Pcf11,,
Ddah2,,Pdcd6ip,,
Ddhd1,,Pde4dip,,
Dennd4b,,Pdia6,,
Dmwd,,Pdpk1,,
Dmxl1,,Pfkfb3,,
Dot1l,,Phlda1,,
Dtx1,,Pik3cb,,
Dusp1,,Pip5k1c,,
Dyrk1a,,Pla2r1,,
E130311K13Rik,,Plau,,
Ecm1,,Plrg1,,
Efemp2,,Pnma1,,
Ehd1,,Ppard,,
Ehmt2,,Ppp1r12c,,
Eif2s2,,Ppp3cb,,
Eif4a3,,Prc1,,
Eif4h,,Prg4,,
Elk4,,Prim2,,
Ell2,,Prkaa1,,
Eml4,,Prkcc,,
Epha1,,Ptgs2,,
Erc1,,Ptpn14,,
Eri2,,Ptrf,,
Errfi1,,Rab11fip2,,
Ets2,,Rab11fip3,,
Exd2,,Rab23,,
F2r,,Rap1b,,
F3,,Rasa4,,
Faf1,,Rassf2,,
Fam113b,,Rbbp4,,
Fam134c,,Rdm1,,
Fam188a,,Rfx7,,
Fam198b,,Rhob,,
Fam3c,,Rhobtb3,,
